"","speed","X.break","Y.break","Type"
"1734",92.3,2.06,11.91,"FF"
"780",92.6,-1.14,11.24,"FF"
"649",74.5,-2.03,-7.07,"CU"
"9659",92.1,2.79765528785008,10.1911231269066,"FF"
"4596",93.6,0.51,12.08,"FF"
"5943",92.3,3.07,10.58,"FF"
"3984",75.4,-3.48,-10.69,"CU"
"7161",91.5,-1.96,13.01,"FF"
"4501",93.1,1.17,11.79,"FF"
"4552",94.4,-1.34,9.77,"FF"
"9110",73,0.743565668775738,-6.5688502370805,"CU"
"5734",92.8,3.39,11.38,"FF"
"4968",70.7,0.32,-12.41,"CU"
"9316",74.8,-1.57163273371934,-4.91252793107113,"CU"
"221",93.3,4.22,12.88,"FF"
"3518",93.1,0.78,10.71,"FF"
"1365",90.1,1.8,10.52,"FF"
"2770",91.7,-0.52,10.02,"FF"
"5379",72,-0.85,-10.76,"CU"
"864",93,-0.73,12,"FF"
"25",91.9,3.47,10.35,"FF"
"1382",90.6,2.69,8.81,"FF"
"7430",92.1,-1.78,13.5,"FF"
"2351",73.1,-3.09,-8.11,"CU"
"4532",94.4,-0.83,10.6,"FF"
"3878",93.3,-0.22,10.49,"FF"
"3516",93.5,-0.68,11.48,"FF"
"4139",93.6,4.58,11.38,"FF"
"9268",93.3,0.183280408158953,13.2999791367496,"FF"
"4939",91.7,0.48,11.37,"FF"
"6239",93.1,1.89,15.24,"FF"
"6668",93.1,0.89,7.94,"FF"
"2266",93,0.16,-3.15,"FF"
"1833",93.3,-0.54,11.82,"FF"
"4789",94,0.82,10.79,"FF"
"5853",73.9,-0.16,-14.99,"CU"
"9132",73.3,0.701977894172424,-6.71997210437406,"CU"
"7950",93.1,0.59,12.55,"FF"
"1840",94.6,1.11,12.69,"FF"
"6517",93.9,-1.87,11.5,"FF"
"3471",93.4,4.44,12.15,"FF"
"2039",93.6,-0.31,12.99,"FF"
"4262",92.9,1.56,11.3,"FF"
"1223",92.3,2.94,13.22,"FF"
"8853",93.5,-0.692152954878202,14.4026269936855,"FF"
"4497",94.6,1.05,9.19,"FF"
"2110",91.4,2.78,12.61,"FF"
"7246",93.2,0.32,12.8,"FF"
"1910",93.1,0.86,11.79,"FF"
"4227",92.1,1.89,13.39,"FF"
"949",91.4,0.46,-3.76,"FF"
"3660",92.4,4.53,11.29,"FF"
"3280",92.7,2.1,9.54,"FF"
"4141",93.4,3.43,11.83,"FF"
"4978",91.6,3.19,11.09,"FF"
"4378",72.9,-4.32,-8.57,"CU"
"4219",71.9,-3.49,-10.28,"CU"
"5558",73.9,-1.51,-8.51,"CU"
"4218",91.6,1.85,13,"FF"
"1328",93,1.19,11.41,"FF"
"4343",92.3,-2.17,12.47,"FF"
"1951",92.2,-0.96,14.3,"FF"
"1502",92.2,2.54,12.13,"FF"
"2560",92.6,-1.86,13.48,"FF"
"600",91.4,-0.05,12.62,"FF"
"7928",72.1,-0.28,-11.39,"CU"
"3071",93.7,0.74,12.35,"FF"
"1719",91.9,-0.89,13.82,"FF"
"2398",93,2.79,10.22,"FF"
"6097",94.7,1.64,11.57,"FF"
"6927",92.4,-0.03,11.44,"FF"
"4571",94,-0.34,12.49,"FF"
"7115",93.6,-0.64,11.92,"FF"
"7781",73.8,-1.55,-8.61,"CU"
"2265",93.9,-0.06,-2.39,"FF"
"1582",92.9,2.93,13.57,"FF"
"9057",93.7,1.74530302145002,14.1667157128593,"FF"
"6283",73.9,-3.03,-11.66,"CU"
"5608",92.9,-0.71,12.44,"FF"
"3250",94.4,3.11,8.75,"FF"
"5776",94.9,3.11,11.8,"FF"
"4722",93.4,-0.38,11.02,"FF"
"8750",72.8,-2.2372547016447,-7.60724467038305,"CU"
"9028",94.4,1.1807325674151,14.2454816137023,"FF"
"6937",93.8,-2.73,10.92,"FF"
"5443",93.4,0.17,9.01,"FF"
"8129",90.9,2.16,11.89,"FF"
"8792",73,0.75286615096585,-5.94258996480433,"CU"
"2515",92.9,-0.01,10.77,"FF"
"3681",92,1.56,10.34,"FF"
"4239",91.1,1.08,14.7,"FF"
"6032",72.7,-0.1,-11.03,"CU"
"2719",92.4,-0.6,12.53,"FF"
"6797",72.5,3.75,-9.79,"CU"
"369",92.2,3,12.46,"FF"
"5291",94.8,3.407,12.869,"FF"
"8826",73,-0.546253466416433,-5.02031135096984,"CU"
"1132",93.2,2.29,9.23,"FF"
"667",94.5,2.01,13.89,"FF"
"5668",93.3,0.48,13.45,"FF"
"8027",93.2,0.61,12.12,"FF"
"284",91.9,0.12,15.09,"FF"
"4530",94.8,1.86,7.49,"FF"
"9067",73.2,-0.8185284084453,-8.99709764875556,"CU"
"5755",75,-0.54,-10.2,"CU"
"5817",93.4,1.21,10.06,"FF"
"2555",91.7,1.07,11.41,"FF"
"6154",72.5,0.3,-11.82,"CU"
"2091",72.7,-2.06,-9.14,"CU"
"1238",90.8,3.14,11.23,"FF"
"5962",73.3,-0.23,-8.55,"CU"
"9446",92.4,0.997789297951,14.2808760041,"FF"
"1602",93.6,1.92,10.61,"FF"
"4493",75.1,-0.43,-12.79,"CU"
"1183",92.5,3.16,11.01,"FF"
"5112",93,4.03,10.12,"FF"
"1327",74.6,-4.34,-7.07,"CU"
"7301",93.7,0.22,13.9,"FF"
"39",92.1,-0.14,12.75,"FF"
"4188",91.6,0.96,10.76,"FF"
"2022",93.1,-2.02,10.38,"FF"
"8230",72.9,-2.74894898452783,-6.07641955803282,"CU"
