"","start_speed","pfx_x","pfx_z","pitch_type"
"1",89,9.19,9.33,"CH"
"2",85.1,10.63,11.7,"CH"
"3",86.7,6.03,12.59,"CH"
"4",86,5.02018051700509,16.1204101730789,"CH"
"5",86.8,5.76,14.31,"CH"
"6",86.6,10.01,11.92,"CH"
"7",88.1,6.79,11.29,"CH"
"8",89.5,5.04,10.13,"CH"
"9",85.7,7.31,10.99,"CH"
"10",89.2,4.74,9.53,"CH"
"11",86.8,8.1,8.32,"CH"
"12",86.1,5.5,8.1,"CH"
"13",84.7,8.75,9,"CH"
"14",86.9,7.85655958039632,13.4764969676825,"CH"
"15",83.9,7.47,12.89,"CH"
"16",86.4,7.37,11.84,"CH"
"17",84.2,10.46,9.79,"CH"
"18",86.7,6.62,9.66,"CH"
"19",88.4,9.02,10.68,"CH"
"20",90.3,7.46,11.21,"CH"
"21",86.6,9.7,9.96,"CH"
"22",85.8,6.94,9.15,"CH"
"23",87.3,6.61,12.19,"CH"
"24",86,9.1,8.57,"CH"
"25",84.6,8.95,9.34,"CH"
"26",86.1,4.61606506780403,14.6696673997778,"CH"
"27",86.8,6.32707354967461,12.1550700959087,"CH"
"28",89.4,5.44,10.28,"CH"
"29",85.3,5.3247432833374,11.8213611522542,"CH"
"30",87.1,6.15,11.19,"CH"
"31",85.9,5.75,11.16,"CH"
"32",87.1,6.31,12.27,"CH"
"33",85.9,7.74,8.56,"CH"
"34",87.7,5.1,9.14,"CH"
"35",85.6,10.68,11.08,"CH"
"36",88.2,6.99,11.15,"CH"
"37",85.3,6.97,6.83,"CH"
"38",86.5,5.65,9.99,"CH"
"39",85.8,8.6,9.88,"CH"
"40",85.9,6.56194928003233,14.1296857574749,"CH"
"41",87.3,6.63,7.99,"CH"
"42",85.6,9.24,12.63,"CH"
"43",87.2,9.8221290597802,15.1638186348067,"CH"
"44",83.5,8.01,11.15,"CH"
"45",84.7,5.67,11.36,"CH"
"46",90.5,5.57,9.29,"CH"
"47",83.9,10.76,11.2,"CH"
"48",84.4,8.54,9.38,"CH"
"49",88.5,4.88,10.86,"CH"
"50",84.4,2.79,-5.02,"CH"
"51",82.6,5.36,13.05,"CH"
"52",85.6,10.68,10.73,"CH"
"53",87.5,5.64739971001745,14.2581718824848,"CH"
"54",88.7,8.57,6.97,"CH"
"55",84.9,6.49,7.39,"CH"
"56",84.4,5.84410616138896,12.6485938204237,"CH"
"57",86.8,7.65339239318645,14.5503047642753,"CH"
"58",90.2,6.76,10.49,"CH"
"59",84.2,6,12.26,"CH"
"60",84.4,5.37,14.39,"CH"
"61",85.2,5.17,11.34,"CH"
"62",87.2,7.94,8.99,"CH"
"63",89,6.85,8.55,"CH"
